stadium,city,state,team,conference,capacity,built,expanded,div,latitude,longitude
Kenneth P. LaValle Stadium,Stony Brook,New York,Stony Brook Seawolves,CAA,8200,2002,,fcs,40.918312202356546,-73.1240451335907
Graham Stadium,Martin,Tennessee,UT Martin Skyhawks,Ohio Valley,8000,1964,,fcs,36.34473727473976,-88.86117696762085
Cowell Stadium,Durham,New Hampshire,New Hampshire Wildcats,CAA,8000,1936,,fcs,43.13868644255608,-70.9391525387764
Ted Wright Stadium,Savannah,Georgia,Savannah State Tigers,MEAC,7500,1967,,fcs,32.02727816100439,-81.06926968373023
Strawberry Stadium,Hammond,Louisiana,Southeastern Louisiana Lions,Southland,7408,1936,2008,fcs,30.510965292205533,-90.46879649162292
Alumni Stadium,Dover,Delaware,Delaware State Hornets,MEAC,7000,1980,,fcs,39.188826006653635,-75.54349422454834
Coffey Field,The Bronx,New York,Fordham Rams,Patriot,7000,1930,,fcs,40.86118054351042,-73.88327121734619
Seibert Stadium,Homewood,Alabama,Samford Bulldogs,Southern,6700,1958,,fcs,33.463425,-86.79527019999999
Bailey Memorial Stadium,Clinton,South Carolina,Presbyterian Blue Hose,Big South,6500,2002,,fcs,34.46055712845153,-81.86198098380049
Richardson Stadium,Davidson,North Carolina,Davidson Wildcats,Pioneer,6000,1923,1998,fcs,35.49958482582466,-80.84345239142534
Gayle and Tom Benson Stadium,San Antonio,Texas,Incarnate Word Cardinals,Southland,6000,2008,2010,fcs,29.467283430975456,-98.4698613211319
Blackshear Field,Prairie View,Texas,Prairie View A&M Panthers,SWAC,6000,1960,,fcs,30.09115259095664,-95.99441528320312
Spec Martin Municipal Stadium,DeLand,Florida,Stetson Hatters,Pioneer,6000,1941,,fcs,29.019507830255847,-81.30031862489339
Torero Stadium,San Diego,California,San Diego Toreros,Pioneer,6000,1961,,fcs,32.773496102584694,-117.183797873547
Butler Bowl,Indianapolis,Indiana,Butler Bulldogs,Pioneer,5500,1928,2010 ,fcs,39.84429756505966,-86.16624191180902
Meade Stadium,Kingston,Rhode Island,Rhode Island Rams,CAA,5180,1928,2003,fcs,41.48805753368575,-71.5345226391631
Leonidoff Field,Poughkeepsie,New York,Marist Red Foxes,Pioneer,5000,1968,2007,fcs,41.718927384762445,-73.93262386322021
Husky Stadium,Houston,Texas,Houston Baptist Huskies,Southland,5000,2014,,fcs,29.752250560051174,-95.35233736038208
Brown Field,Valparaiso,Indiana,Valparaiso Crusaders,Pioneer,5000,1919,,fcs,41.465178807414055,-87.04783452864913
Barker–Lane Stadium,Buies Creek,North Carolina,Campbell Fighting Camels,Pioneer,5000,2008,,fcs,35.40471834518822,-78.74297958926651
D. B. Milne Field,Jacksonville,Florida,Jacksonville Dolphins,Pioneer,5000,1998,,fcs,30.356479653114484,-81.60585337269472
Bulldog Stadium,Smithfield,Rhode Island,Bryant Bulldogs,Northeast,4400,1999,,fcs,41.9240451152858,-71.5380118857875
Kessler Field,West Long Branch,New Jersey,Monmouth Hawks,Big South,4000,1993,,fcs,40.279333320506424,-74.00947451591492
Buccaneer Field,North Charleston,South Carolina,Charleston Southern Buccaneers,Big South,4000,1970,,fcs,32.978350056140606,-80.06846858235923
Campus Field,Fairfield,Connecticut,Sacred Heart Pioneers,Northeast,4000,1993,,fcs,41.21945017557718,-73.24561729776717
Arute Field,New Britain,Connecticut,Central Connecticut State Blue Devils,Northeast,3500,1969,,fcs,41.69513675406051,-72.76143215914813
DeGol Field,Loretto,Pennsylvania,Saint Francis Red Flash,Northeast,3500,2006,,fcs,40.50635956112794,-78.63697298983199
Wagner College Stadium,Staten Island,New York,Wagner Seahawks,Northeast,3300,1967,,fcs,40.61732454244042,-74.0954312377263
Joe Walton Stadium,Moon Township,Pennsylvania,Robert Morris Colonials,Northeast,3000,2005,,fcs,40.52117230929701,-80.21629929542542
Cooper Field,Georgetown,Washington D.C.,Georgetown Hoyas,Patriot,2500,2005,,fcs,38.908032811655644,-77.07540035247803
Arthur J. Rooney Athletic Field,Pittsburgh,Pennsylvania,Duquesne Dukes,Northeast,2200,1993,2011,fcs,40.435621782309425,-79.99015090703344
